ID;TIPO;LETRA;NOMBRE;CODIGO
1;1;A;Azul;#0000FF
2;1;A;Amarrillo;#FFFF00
3;1;A;Amaranto;#FF355E
4;1;A;Avellana;#B48969
5;2;A;Aguacate;https://i.ibb.co/cYWL6bh/Aguacate.jpg
6;2;A;Aceituna;https://i.ibb.co/G7dgH8b/Aceituna.jpg
7;2;A;Almendra;https://i.ibb.co/pLYZgZB/Almendra.jpg
8;2;A;Avellana;https://i.ibb.co/x6h6r26/Avellana.jpg
9;3;A;Abeja;https://i.ibb.co/dMGmvbB/Abeja.jpg
10;3;A;Abejorro;https://i.ibb.co/Rgqbh72/Abejorro.jpg
11;3;A;Águila;https://i.ibb.co/jHm0TtP/Aguila.jpg
12;3;A;Alacrán;https://i.ibb.co/QcZ33zP/Alacran.jpg
13;1;B;Bronce;#CD7F32
14;1;B;Barbecho;#C19A6B
15;1;B;Berenjena;#291E29
16;1;B;Bígaro;#CCCCFF
17;2;B;Baya;https://i.ibb.co/qpgXP5h/Baya.jpg
18;2;B;Banana;https://i.ibb.co/rM2NH7F/Banana.jpg
19;2;B;Babaco;https://i.ibb.co/F3dck82/Babaco.jpg
20;2;B;Bellota;https://i.ibb.co/nr0tGqN/Bellota.jpg
21;3;B;Babosa;https://i.ibb.co/xsbRQxd/Babosa.jpg
22;3;B;Ballena;https://i.ibb.co/D8MWPS5/Ballena.jpg
23;3;B;Bagre;https://i.ibb.co/89mtnDV/Bagre.jpg
24;3;B;Burro;https://i.ibb.co/n0VWyMB/Burro.jpg
25;1;C;Café;#591F0B
26;1;C;Cereza;#DE3163
27;1;C;Canela;#BD8A3E
28;1;C;Celeste;#00CCFF
29;2;C;Carambola;https://i.ibb.co/CvfbSrp/Carambola.jpg
30;2;C;Chirimoya;https://i.ibb.co/GPb1z7M/Chirimoya.jpg
31;2;C;Coco;https://i.ibb.co/KqLcF4G/Coco.jpg
32;2;C;Cereza;https://i.ibb.co/3hZNVqV/Cereza.jpg
